sample_id,fastq_1,fastq_2,layout,genome,assay,factor,condition,treatment,cell_type,replicate,tech_replicate,is_control,control_id,macs2_mode,blacklist,chipqc_annotation,output_prefix
H3K27ac_KD_rep1,/data/fastq/H3K27ac_KD_rep1_1.fq.gz,/data/fastq/H3K27ac_KD_rep1_2.fq.gz,PE,hg38,ChIP-seq,H3K27ac,KD,siRNA,HaCaT,1,,FALSE,Input_KD_rep1,broad,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,H3K27ac_KD_rep1
H3K27ac_KD_rep2,/data/fastq/H3K27ac_KD_rep2_1.fq.gz,/data/fastq/H3K27ac_KD_rep2_2.fq.gz,PE,hg38,ChIP-seq,H3K27ac,KD,siRNA,HaCaT,2,,FALSE,Input_KD_rep2,broad,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,H3K27ac_KD_rep2
H3K27ac_CTR_rep1,/data/fastq/H3K27ac_CTR_rep1_1.fq.gz,/data/fastq/H3K27ac_CTR_rep1_2.fq.gz,PE,hg38,ChIP-seq,H3K27ac,CTR,scrambled,HaCaT,1,,FALSE,Input_CTR_rep1,broad,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,H3K27ac_CTR_rep1
H3K27ac_CTR_rep2,/data/fastq/H3K27ac_CTR_rep2_1.fq.gz,/data/fastq/H3K27ac_CTR_rep2_2.fq.gz,PE,hg38,ChIP-seq,H3K27ac,CTR,scrambled,HaCaT,2,,FALSE,Input_CTR_rep2,broad,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,H3K27ac_CTR_rep2
CTCF_KD_rep1,/data/fastq/CTCF_KD_rep1_1.fq.gz,/data/fastq/CTCF_KD_rep1_2.fq.gz,PE,hg38,ChIP-seq,CTCF,KD,siRNA,HaCaT,1,,FALSE,Input_KD_rep1,narrow,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,CTCF_KD_rep1
Input_KD_rep1,/data/fastq/Input_KD_rep1_1.fq.gz,/data/fastq/Input_KD_rep1_2.fq.gz,PE,hg38,ChIP-seq,Input,KD,siRNA,HaCaT,1,,TRUE,,none,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,Input_KD_rep1
Input_KD_rep2,/data/fastq/Input_KD_rep2_1.fq.gz,/data/fastq/Input_KD_rep2_2.fq.gz,PE,hg38,ChIP-seq,Input,KD,siRNA,HaCaT,2,,TRUE,,none,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,Input_KD_rep2
Input_CTR_rep1,/data/fastq/Input_CTR_rep1_1.fq.gz,/data/fastq/Input_CTR_rep1_2.fq.gz,PE,hg38,ChIP-seq,Input,CTR,scrambled,HaCaT,1,,TRUE,,none,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,Input_CTR_rep1
Input_CTR_rep2,/data/fastq/Input_CTR_rep2_1.fq.gz,/data/fastq/Input_CTR_rep2_2.fq.gz,PE,hg38,ChIP-seq,Input,CTR,scrambled,HaCaT,2,,TRUE,,none,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_hg38_ENCFF356LFX.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_hg38_chipqc.rds,Input_CTR_rep2
Ezh2_mm39_rep1,/data/fastq/Ezh2_rep1_1.fq.gz,/data/fastq/Ezh2_rep1_2.fq.gz,PE,mm39,ChIP-seq,Ezh2,WT,,keratinocyte,1,,FALSE,IgG_mm39_rep1,narrow,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_mm39_Boyle.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_mm39_chipqc.rds,Ezh2_mm39_rep1
IgG_mm39_rep1,/data/fastq/IgG_rep1_1.fq.gz,,SE,mm39,ChIP-seq,IgG,WT,,keratinocyte,1,,TRUE,,none,/home/micgdu/data/shared/AnnotationHub_cache/blacklist_mm39_Boyle.bed,/home/micgdu/data/shared/AnnotationHub_cache/anno_mm39_chipqc.rds,IgG_mm39_rep1
